nr,battle,element,first,second
0,siege_of_toulon,Battle,Siege of Toulon,Siege of Toulon
1,siege_of_toulon,Date,29 August - 19 December 1793,29 August - 19 December 1793
2,siege_of_toulon,Location,"Toulon, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}43°08′N 5°55′E﻿ / ﻿43.13°N 5.92°E","Toulon, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}43°08′N 5°55′E﻿ / ﻿43.13°N 5.92°E"
3,siege_of_toulon,Result,French Republican victory,French Republican victory
4,siege_of_toulon,Belligerents,French Republic,French Royalists  French Federalists Great Britain  Kingdom of Spain  Kingdom of Naples  Kingdom of Sicily  Kingdom of Sardinia
5,siege_of_toulon,Commanders and leaders,Jean François Carteaux  Jacques François Dugommier  Napoleon Bonaparte   Jean François Cornu de La Poype  Hughes Charlot,Baron d'Imbert  Samuel Hood  Charles O'Hara   Sidney Smith  Lord Mulgrave  Juan de Lángara Federico Gravina  Henry Phipps
6,siege_of_toulon,Strength,"32,000","1,500 8,000 & 37 ships  7,000 & 32 ships  6,500 & 5 ships Total: 23,000 men 74 ships"
7,siege_of_toulon,Casualties and losses,"1,700 dead or wounded 9 ships of the line scuttled in harbour, 4 ships of the line, 7 frigates and 5 corvettes captured","1,200 killed or wounded  700 killed or wounded  200 killed or wounded  1,000 captured  1,500 captured  Total: 4,600  1 ship captured  14 ships of the line, 1 frigate and 2 corvettes abandoned and seized by the Republicans"
8,battle_of_saorgio,Battle,Battle of Saorgio,Battle of Saorgio
9,battle_of_saorgio,Date,24 to 28 April 1794,24 to 28 April 1794
10,battle_of_saorgio,Location,"Saorge, County of Nice, Kingdom of Sardinia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}43°59′18″N 7°33′11″E﻿ / ﻿43.9883°N 7.5531°E","Saorge, County of Nice, Kingdom of Sardinia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}43°59′18″N 7°33′11″E﻿ / ﻿43.9883°N 7.5531°E"
11,battle_of_saorgio,Result,French victory,French victory
12,battle_of_saorgio,Belligerents,France,Habsburg Austria  Sardinia
13,battle_of_saorgio,Commanders and leaders,André Masséna  Napoleon Bonaparte,Michelangelo Colli
14,battle_of_saorgio,Strength,20000,8000
15,battle_of_saorgio,Casualties and losses,"1,500","3,000"
16,first_battle_of_dego,Battle,First Battle of Dego,First Battle of Dego
17,first_battle_of_dego,Date,21 September 1794,21 September 1794
18,first_battle_of_dego,Location,"Dego, Liguria, present-day Italy","Dego, Liguria, present-day Italy"
19,first_battle_of_dego,Result,French victory,French victory
20,first_battle_of_dego,Belligerents,French Republic,Habsburg monarchy  Kingdom of Sardinia
21,first_battle_of_dego,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  André Masséna  Napoleon Bonaparte","Olivier, Count of Wallis"
22,first_battle_of_dego,Strength,18000,"c. 8,000"
23,first_battle_of_dego,Casualties and losses,"80-2,000","200-1,000"
24,13_vendémiaire,Battle,13 Vendémiaire,13 Vendémiaire
25,13_vendémiaire,Date,5 October 1795,5 October 1795
